93,39,95
93,60,80
93,61,100
93,63,80
93,64,80
93,65,50
93,66,80
93,71,50
93,73,100
93,79,80
93,82,80
93,87,90
93,89,80
93,90,100
93,93,100
93,94,100
93,95,80
93,139,100
93,143,90
93,148,80
93,152,90
93,173,95
93,192,80
93,206,100
93,216,75
93,217,80
93,229,75
93,233,80
94,39,75
94,60,80
94,61,100
94,63,95
94,64,95
94,65,90
94,66,90
94,71,90
94,73,95
94,79,95
94,82,95
94,87,100
94,89,95
94,90,100
94,93,95
94,94,100
94,95,95
94,139,100
94,143,95
94,148,100
94,152,90
94,173,100
94,192,100
94,206,100
94,216,100
94,217,95
94,229,95
94,233,95
73,39,99.5
73,60,99.0
73,61,100.0
73,63,100.0
73,64,100.0
73,65,99.5
73,66,100.0
73,71,99.5
73,73,100.0
73,79,100.0
73,82,100.0
73,87,100.0
73,89,100.0
73,90,100.0
73,93,100.0
73,94,100.0
73,95,100.0
73,139,100.0
73,143,100.0
73,148,100.0
73,152,100.0
73,173,100.0
73,192,100.0
73,206,100.0
73,216,100.0
73,217,99.0
73,229,100.0
73,233,100.0
39,39,98.70
39,60,98.00
39,61,90.50
39,63,89.70
39,64,89.80
39,65,89.90
39,66,89.97
39,71,89.97
39,73,89.80
39,79,91.77
39,82,90.60
39,87,92.90
39,89,90.80
39,90,92.70
39,93,97.70
39,94,97.60
39,95,97.76
39,139,97.77
39,143,92.70
39,148,93.50
39,152,90.80
39,173,89.90
39,192,89.00
39,206,89.76
39,216,89.77
39,217,97.50
39,229,97.70
39,233,96.90
112,39,100
112,60,100
112,63,100
112,65,100
112,66,100
112,71,100
112,73,100
112,79,100
112,82,100
112,87,100
112,89,100
112,90,100
112,93,100
112,94,100
112,95,100
112,139,100
112,143,100
112,148,100
112,152,100
112,173,100
112,206,100
112,216,100
112,217,100
112,229,100
112,233,100
79,39,40
79,60,40
79,61,30
79,63,40
79,64,40
79,65,20
79,66,40
79,71,50
79,73,80
79,79,50
79,82,50
79,87,100
79,89,40
79,90,90
79,93,70
79,94,40
79,95,50
79,139,70
79,143,65
79,148,45
79,152,20
79,173,50
79,192,50
79,206,70
79,216,70
79,217,65
79,229,50
79,233,50
153,39,80
153,60,80
153,61,100
153,63,80
153,229,30
153,217,50
153,233,80
153,206,100
153,216,50
153,192,50
153,64,80
153,65,80
153,71,80
153,73,100
153,79,50
153,82,80
229,39,00
229,60,70
229,61,40
229,63,90
229,64,90
229,65,00
229,66,80
229,71,80
229,73,80
229,79,60
229,82,90
229,87,90
229,89,70
229,90,70
229,93,70
229,94,90
229,95,40
229,139,80
229,143,80
229,148,90
229,152,90
229,173,70
229,192,90
229,206,60
229,216,60
229,217,00
229,229,70
229,233,90
141,39,80
141,60,100
141,61,100
141,63,100
141,64,100
141,65,100
141,66,100
141,71,100
141,73,100
141,79,100
141,82,100
141,87,100
141,89,100
141,90,100
141,93,100
141,94,100
141,95,100
141,139,100
141,143,100
141,148,100
141,152,90
141,173,90
141,192,100
141,206,100
141,216,95
141,217,100
141,229,95
141,233,100
206,39,100.00
206,60,90.00
206,61,95.50
206,63,90.00
206,64,90.00
206,65,55.55
206,66,85.50
206,71,55.55
206,73,95.55
206,79,95.55
206,82,90.00
206,87,98.55
206,89,95.55
206,90,95.00
206,93,85.90
206,94,78.00
206,95,90.00
206,139,100.00
206,143,100.00
206,148,98.55
206,152,50.00
206,173,100.00
206,192,95.00
206,206,100.00
206,216,95.55
206,217,70.00
206,229,70.00
206,233,80.00
63,39,80
63,60,100
63,61,100
63,63,100
63,64,100
63,65,90
63,66,100
63,71,90
63,73,100
63,79,100
63,82,100
63,87,100
63,89,100
63,90,100
63,93,100
63,94,80
63,95,100
63,139,100
63,143,100
63,148,100
63,152,80
63,173,100
63,192,100
63,206,100
63,216,80
63,217,99
63,229,100
63,233,100
90,39,50
90,60,80
90,61,70
90,63,75
90,64,100
90,65,25
90,66,100
90,71,10
90,73,100
90,79,100
90,82,100
90,87,90
90,89,100
90,90,88
90,93,80
90,94,60
90,95,100
90,139,100
90,143,10
90,148,70
90,152,100
90,173,70
90,192,90
90,206,70
90,216,60
90,217,80
90,229,70
90,233,100
152,39,60.9
152,60,70.7
152,61,70.6
152,63,80.4
152,64,70.3
152,65,50.6
152,66,80.5
152,71,80.1
152,73,70.1
152,79,60.2
152,82,80.4
152,87,80.8
152,89,70.7
152,90,60.3
152,93,70.4
152,94,60.5
152,95,70.9
152,139,80.3
152,143,70.7
152,148,80.8
152,152,60.8
152,173,80.6
152,192,90.0
152,206,80.1
152,206,70.9
152,216,80.2
152,217,50.2
152,229,60.1
152,233,70.5
85,39,50.00
85,60,100.00
85,61,80.00
85,63,100.00
85,64,100.00
85,65,70.50
85,66,100.00
85,71,80.00
85,73,100.00
85,79,100.00
85,82,100.00
85,87,100.00
85,89,100.00
85,90,100.00
85,93,100.00
85,94,70.00
85,95,100.00
85,139,90.00
85,143,100.00
85,148,100.00
85,152,70.00
85,173,100.00
85,192,100.00
85,206,80.00
85,216,100.00
85,217,70.00
85,229,90.00
85,233,100.00
232,39222,80,80
232,602223,70,70
232,612224,70,70
232,632225,70,70
232,642226,70,70
232,652227,70,70
232,662228,70,70
232,712229,70,70
232,7322230,70,70
232,792231,70,70
232,822232,70,70
232,872234,100,100
232,892662,70,70
232,902235,90,90
232,932236,80,80
232,942237,80,80
232,952238,70,70
232,1392245,90,90
232,1432247,90,90
232,1482249,70,70
232,1522250,90,90
232,1732762,70,70
232,1922256,70,70
232,2062623,80,80
232,2162695,70,70
232,2172726,70,70
232,2292901,70,70
232,2333052,70,70
173,39,70
173,60,40
173,61,90
173,63,50
173,64,50
173,65,45
173,66,60
173,71,60
173,73,100
173,79,80
173,82,60
173,87,65
173,89,65
173,90,95
173,93,70
173,94,65
173,95,50
173,139,100
173,143,45
173,148,60
173,152,50
173,173,100
173,192,60
173,206,90
173,216,70
173,217,45
173,229,50
173,233,50
148,39,80
148,60,80
148,61,100
148,63,80
148,229,30
148,217,50
148,233,80
148,206,100
148,216,50
148,192,50
148,64,80
148,65,80
148,71,80
148,73,100
148,79,50
148,82,80
148,87,80
148,89,50
148,90,80
148,93,50
148,94,30
148,95,50
148,139,50
148,143,30
148,148,50
148,152,30
148,173,80
87,39,99
87,60,97
87,61,98
87,63,98
87,64,98
87,65,97
87,66,98
87,71,96
87,73,96
87,79,97
87,82,98
87,87,99
87,89,97
87,90,98
87,93,98
87,94,97
87,95,98
87,139,98
87,143,96
87,148,97
87,152,96
87,173,98
87,192,97
87,206,98
87,216,98
87,217,95
87,229,97
87,233,98
61,39,80
61,60,95
61,61,95
61,63,95
61,64,95
61,65,95
61,66,95
61,71,70
61,73,100
61,79,100
61,82,100
61,87,100
61,89,70
61,90,100
61,93,80
61,94,50
61,95,80
61,139,60
61,143,100
61,148,70
61,152,60
61,173,80
61,192,60
61,206,70
61,216,70
61,217,60
61,229,70
61,233,70
89,39,50
89,60,90
89,61,100
89,63,100
89,64,100
89,65,80
89,66,100
89,71,80
89,73,100
89,79,100
89,82,100
89,87,100
89,89,100
89,90,100
89,93,90
89,94,100
89,95,100
89,139,100
89,143,100
89,148,100
89,152,80
89,173,100
89,192,100
89,206,100
89,216,90
89,217,80
89,229,90
89,233,100
192,39,10.0
192,60,5.00
192,61,10.0
192,63,10.0
192,64,10.0
192,65,3.00
192,66,10.0
192,71,10.0
192,73,10.0
192,79,10.0
192,82,10.0
192,87,10.0
192,89,10.0
192,90,10.0
192,93,8.00
192,94,10.0
192,95,10.0
192,139,10.0
192,143,5.00
192,148,10.0
192,152,6.00
192,173,10.0
192,192,10.0
192,206,10.0
192,216,10.0
192,217,10.0
192,229,10.0
192,233,10.0
71,39,80
71,60,100
71,61,80
71,63,90
71,64,90
71,65,70
71,66,90
71,71,100
71,73,85
71,79,50
71,82,90
71,89,90
71,90,100
71,93,100
71,94,85
71,95,100
71,139,70
71,143,80
71,148,90
71,152,00
71,173,85
71,192,90
71,206,70
71,216,60
71,217,90
71,229,85
71,233,90
139,39,75
139,60,55
139,61,65
139,63,45
139,64,75
139,65,95
139,66,100
139,71,5
139,73,15
139,79,75
139,82,45
139,87,55
139,89,65
139,90,100
139,93,5
139,94,15
139,95,20
139,139,25
139,143,35
139,148,45
139,152,55
139,173,65
139,192,85
139,206,75
139,216,59
139,217,65
139,229,20
139,233,35
82,39,30
82,60,100
82,61,100
82,63,100
82,64,100
82,65,50
82,66,100
82,71,50
82,73,100
82,79,100
82,82,100
82,87,100
82,89,100
82,90,100
82,93,100
82,94,100
82,95,100
82,139,100
82,143,100
82,148,100
82,152,90
82,173,100
82,192,100
82,206,100
82,216,100
82,217,100
82,229,100
82,233,100
60,39,80
60,60,100
60,61,55
60,63,100
60,64,100
60,65,30
60,66,97
60,71,62
60,73,70
60,79,80
60,82,100
60,87,100
60,89,95
60,90,100
60,93,60
60,94,30
60,95,99
60,139,50
60,143,70
60,148,100
60,152,65
60,173,90
60,192,100
60,206,50
60,216,50
60,217,90
60,229,70
60,233,100
216,39,75
216,60,75
216,61,75
216,63,75
216,64,75
216,65,75
216,66,75
216,71,75
216,73,75
216,79,75
216,82,75
216,87,75
216,89,75
216,90,75
216,93,75
216,94,75
216,95,75
216,139,75
216,143,75
216,148,75
216,152,75
216,173,75
216,192,75
216,206,75
216,216,75
216,217,75
216,229,75
216,233,75
64,39,100
64,60,100
64,61,100
64,63,100
64,64,100
64,65,70
64,66,100
64,71,100
64,73,100
64,79,100
64,82,100
64,87,100
64,89,100
64,90,100
64,93,100
64,94,100
64,95,100
64,139,100
64,143,100
64,148,100
64,152,100
64,173,100
64,192,100
64,206,100
64,216,100
64,217,100
64,229,100
64,233,100
